time,absorbance
0,0.5168858639
2.81278,0.5183990867
5.62556,0.5034990153
8.43834,0.494798334
11.25112,0.4744644507
14.0639,0.4751499986
16.87668,0.4616405273
19.68946,0.4543856293
22.50224,0.4351942382
25.31502,0.435820474
28.1278,0.4216406863
30.94058,0.4162157021
33.75336,0.4102663695
36.56614,0.4009137716
39.37892,0.3866919874
42.1917,0.3827919466
45.00448,0.3827919466
47.81726,0.3702186668
50.63004,0.3627398562
53.44282,0.3517577128
56.2556,0.3491833456
59.06838,0.335042276
61.88116,0.3365355536
64.69394,0.3261888542
67.50672,0.3208659583
70.3195,0.3118227876
73.13228,0.3052778599
75.94506,0.3020420159
78.75784,0.2947351015
81.57062,0.2915765822
84.3834,0.2848847012
87.19618,0.2840001908
90.00896,0.2752527756
92.82174,0.2713731961
95.63452,0.2637164839
98.4473,0.2666780749
101.26008,0.2545379688
104.07286,0.2545379688
106.88564,0.2431299531
109.69842,0.2431299531
112.5112,0.2383310703
115.32398,0.2375363866
118.13676,0.2300585443
120.94954,0.226948096
123.76232,0.2188876047
126.5751,0.2185074782
129.38788,0.2120957194
132.20066,0.2128451492
135.01344,0.2072556965
137.82622,0.2010067472
140.639,0.1970107012
143.45178,0.1973724626
146.26456,0.1930510888
